Year,P
1990,1097.2279458308362
1991,1077.2725509808336
1992,1276.5816996172184
1993,1190.3946299230843
1994,820.3127105497916
1995,1144.571804327305
1996,1198.2683956363228
1997,759.556279800447
1998,1021.2136548704998
1999,980.0499134644394
2000,1072.0749905239566
2001,972.2566920158077
2002,784.7156903886233
2003,1005.8260368780808
2004,944.9074323575546
2005,1048.9242175703828
2006,597.9893725661971
2007,973.9045614533939
2008,831.6537145105113
2009,879.3115364129691
2010,1360.3135146335692
2011,1222.2502675864266
2012,1092.5522265512052
2013,1021.6689067731355
2014,940.2748096076865
2015,869.7094821843251
2016,1286.0054580583537
2017,954.5871207838139
2018,839.9899591916871
