Number,S
212209,240.9294380578981
215207,157.0087452599604
216002,141.4527343246347
218001,166.40626725014056
219001,144.4113093082254
221207,267.5148809076568
221210,174.43386387763806
222206,281.7465239258212
222213,261.4580369356398
223202,278.4041164524608
224206,282.3200245605551
225110A,441.49679820933807
225219,260.93133465453803
226220,557.1750964178004
226222,477.6905243773341
226407,202.98344908291403
227226,242.25203236602223
229661A,513.031277619656
230210,296.31400915402037
231213,321.9397350600191
235205,297.9017588015115
236213,223.59606228465367
238208,361.6458833202945
302214,90.28214750954389
304499,280.42052766014694
305202,194.5349020027854
314207,376.291159883516
314213,236.1434225103922
318076,375.51473452770614
401203,491.66151086694566
401208,437.8676303402937
401210,501.8085829691541
401212,324.48360741567814
401216,532.8141040676843
401217,407.0398348911931
402204,403.6521259553221
402206,559.0817828471451
402213,345.6828141614502
403214,511.14005244158943
403217,465.03240178278566
403221,307.8350373898824
403222,378.33461012815053
403226,349.1444858828966
403232,575.891389498275
404207,349.09151677390975
405205,446.6920085003669
405209,361.7108283126947
405215,234.1491291614798
405217,285.0102930653405
405218,190.37229438417125
405219,266.86361234712905
405226,187.12799057569677
405227,418.0425642890257
405238,225.34466210841128
405245,269.83017131440465
405248,197.5191005459258
405251,382.0627590855235
405264,452.42330226087125
405274,206.07921285973723
406208,339.36571800846593
406213,252.2779909742376
406214,209.16877508545846
407214,222.43318259366177
407215,253.586584599345
407230,226.82073798861927
407253,90.80573754033071
408202,197.06300061140485
410061,363.6187717792061
410730,296.45587077749946
410731,237.38126175198056
410734,182.73913113275376
412066,170.5485938446979
415207,222.61782019785375
415237,119.05363262531274
416003,120.76892805977512
