Number,Smax,Smin,Smean,S,Fwb
410730,142.70775632248638,-1076.8413985217985,-728.9388716377825,1219.5491548442849,1.451162692982755
410731,111.0899928899712,-730.9841384325955,-451.7538397382881,842.0741313225667,1.3484961704642096
410734,69.55225772889446,-763.2631838858251,-418.38116198118587,832.8154416147196,1.2811339959555783
212209,897.8160270701064,-2041.4987585143772,-279.7003288986548,2939.3147855844836,0.9772945413885871
215207,47.34039565034686,-1032.1743952955203,-608.9620884337183,1079.5147909458672,1.1020735182891035
216002,11.469376158529343,-1812.1804188174447,-1160.7070402160505,1823.649794975974,1.341488148784529
218001,37.47803126849436,-748.812750246927,-450.59829658533846,786.2907815154213,0.9831354744133092
219001,113.84462422422621,-1042.2817628304747,-528.4721453608614,1156.126387054701,0.7762019115147087
410061,121.44401107768249,-1431.2532107350253,-811.9847968869874,1552.6972218127078,1.3866188094332175
412066,109.17036200298918,-939.7252904101406,-563.912383934613,1048.8956524131297,1.1045492898943055
416003,361.73688679433053,-343.4378474090736,1.9307366800132755,705.1747342034041,1.1090292928080918
318076,-10.073995954696272,-1149.6325607921044,-698.9944706377454,1139.558564837408,1.231841710215704
304499,127.37162499372789,-500.07688739724745,-183.71725026916496,627.4485123909753,0.9631994690085924
302214,-41.114910200331224,-2142.198104632089,-1291.457783868616,2101.083194431758,1.0283368372903816
305202,76.21543218636737,-820.1288188295257,-467.4874175436643,896.3442510158931,1.2401400583354463
314207,55.84363733418604,-865.1734563438149,-329.69337912266906,921.017093678001,0.9043053155564128
314213,231.61715825998544,-398.7164103488285,-34.403990310383094,630.333568608814,0.8238360324094111
221207,-58.59047802423129,-1300.7281333808514,-745.5965338869141,1242.1376553566201,1.0605201932038064
221210,-6.968903966065909,-1185.6134064197522,-667.7369815683038,1178.6445024536863,1.0768474234929886
222206,35.11368512752483,-1289.9533643116247,-790.4594950109645,1325.0670494391495,1.3328957474455767
222213,72.56827319697243,-1279.7359110340512,-773.1580732199184,1352.3041842310236,1.2701438953027502
223202,89.61705341852678,-1115.1428090205354,-681.5223650765605,1204.759862439062,1.2339172553473003
224206,281.61345642799915,-1469.5416809351827,-878.6981177347994,1751.155137363182,1.1986053106182495
225110A,372.82770991498865,-1279.8118336659609,-620.7789220569505,1652.6395435809495,1.4028770775332602
