FID,OBJECTID_1,OBJECTID,Shape_Leng,Notes,Station_Nu,AlbsAreaK2,ID,Station__1,Site_Name,Jurisdicti,Purpose,Cat_Area__,Latitude,Longitude,ID_1,Station__2,OID_,OBJECT_ID,STATION__3,Shape_Le_1,Shape_Area,StationID,GaugeName,RiverName,State,InsideNest,Downstr_1,Downstr_2,Downstr_3,Downstr_4,Downstr_5,WrscID,DateOpen,GaugeLat,GaugeLon,CentrLat,CentrLon,ElevMin,ElevMax,ElevMean,SlopeRange,SlopeMean,MeanP,MeanETP,AI,Irrigation,Intensive,Forest,Whpk1_Mean,Whpk2_Mean,Kspk1_Mean,Kspk2_Mean,Cal_Val
0,1,1,6.335000000000000,2 upstream catchments are there 215002 & 2152004,215207,4659.899999999999636,0.000000000000000,215207,Shoalhaven river at Fossickers Flat,NSW,HQSRS,4659.899999999999636,-34.821700000000000,150.183300000000003,0.000000000000000,215207,0,0.000000000000000,215207,6.334999993460000,0.461668749962000,215207, Fossickers Flat,Shoalhaven River,NSW, ,0,0,0,0,0,215207,1977-07-15,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0
1,2,280,5.230000001000000,"Adjoining internally draining basin with waterbody to the north. 9 sec DEM suggest overflow from waterbody into this catchment. 1 sec DEM similarly, but only by 40cm height difference from flowing North, and majority of contributing areas to the waterbod",G0010005,6390.500000000000000,0.000000000000000,G0010005,Ranken River at Soudan Homestead,NT,HQSRS,6390.500000000000000,-20.046900000000001,137.018750000000011,0.000000000000000,G0010005,217,217.000000000000000,G0010005,5.229999999800000,0.550112500002000,G00100, Soudan Homestead,Ranken River,NT, ,0,0,0,0,0,G0010005,1965-08-09,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0
2,3,281,0.880000000000000,"Gauge just DS from significant junction based on other source gauge data & Bing Imagery, Gauge Site still US from Arnhem Hwy bridge",G8190001,245.800000000000011,0.000000000000000,G8190001,West Alligator River at Upstream Arnhem Highway,NT,HQSRS,245.800000000000011,-12.791100000000000,132.173900000000003,0.000000000000000,G8190001,218,218.000000000000000,G8190001,0.879999996802000,0.020468749994600,G81900, Upstream Arnhem Highway,West Alligator River,NT, ,0,0,0,0,0,G8190001,1976-07-15,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0
3,4,282,2.350000000000000, ,G8200045,1231.400000000000091,0.000000000000000,G8200045,South Alligator River at El Sherana,NT,HQSRS,1231.400000000000091,-13.524600000000000,132.519550000000010,0.000000000000000,G8200045,219,219.000000000000000,G8200045,2.350000009690000,0.102831249976000,G82000, El Sherana,South Alligator River,NT, ,0,0,0,0,0,G8200045,1958-08-18,-13.524200000000000,132.519200000000012,-13.551900000000000,132.665300000000002,57.811599999999999,399.952999999999975,246.435000000000002,23.221200000000000,2.928400000000000,1319.329099999999926,2148.990200000000186,1.628900000000000,0.000000000000000,0.000000000000000,0.182400000000000,50.667000000000002,83.127099999999999,256.105999999999995,117.555999999999997,-1
4,5,283,0.980000001000000,"US from significant overland flow Confluence (ArtificialFlowSegment) (within 400m), but 1 sec DEM and bing imagery suggests this ArtificialFlowSegment would not flow into DALY WATERS CREEK US or near this gauge, most likely ~4km DS",G9030124,312.600000000000023,0.000000000000000,G9030124,Daly Waters Creek at Daly Waters,NT,HQSRS,312.600000000000023,-16.259799999999998,133.373750000000001,0.000000000000000,G9030124,220,220.000000000000000,G9030124,0.980000001099000,0.026450000031000,G90301, Daly Waters,Daly Waters Creek,NT, ,0,0,0,0,0,G9030124,1976-11-17,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0
5,6,2,1.744999998000000, ,102101A,647.700000000000045,59.000000000000000,102101A,Pascoe River at Fall Creek,QLD,HQSRS,647.700000000000045,-12.880500000000000,142.982949999999988,59.000000000000000,102101A,47,47.000000000000000,102101A,1.744999996150000,0.053956249998400,102101, Fall Creek,Pascoe River,QLD, ,0,0,0,0,0,102101A,1967-09-30,-12.879600000000000,142.982100000000003,-12.932100000000000,143.129199999999997,48.213500000000003,662.575000000000045,227.963999999999999,19.721399999999999,2.954800000000000,1581.453400000000101,1968.863599999999906,1.245000000000000,0.000000000000000,0.000000000000000,0.413100000000000,48.609200000000001,76.844399999999993,246.923000000000002,199.479000000000013,-1
6,7,3,1.445000002000000, ,104001A,469.000000000000000,60.000000000000000,104001A,Stewart River at Telegraph Road,QLD,HQSRS,469.000000000000000,-14.168799999999999,143.394002000000000,60.000000000000000,104001A,48,48.000000000000000,104001A,1.444999998550000,0.039243749974900,104001, Telegraph Road,Stewart River,QLD, ,0,0,0,0,0,104001A,1970-01-18,-14.168699999999999,143.394000000000005,-14.059799999999999,143.299800000000005,50.911799999999999,730.855999999999995,244.070999999999998,18.688800000000001,2.842400000000000,1247.510500000000093,1981.145899999999983,1.588100000000000,0.000000000000000,0.000000000000000,0.406800000000000,42.528199999999998,145.000000000000000,202.056999999999988,70.776300000000006,-1
7,8,4,4.200000000000000, ,105101A,2305.800000000000182,61.000000000000000,105101A,Normanby River at Battle Camp,QLD,HQSRS,2305.800000000000182,-15.281200000000000,144.838699999999989,61.000000000000000,105101A,49,49.000000000000000,105101A,4.200000004200000,0.194456249956000,105101, Battle Camp,Normanby River,QLD, ,0,0,0,0,0,105101A,1967-12-14,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0
8,9,5,2.269999999000000, ,105102A,1284.599999999999909,62.000000000000000,105102A,Laura River at Coalseam Creek,QLD,HQSRS,1284.599999999999909,-15.613300000000001,144.483749999999986,62.000000000000000,105102A,50,50.000000000000000,105102A,2.269999988810000,0.108337499943000,105102, Coalseam Creek,Laura River,QLD, ,0,0,0,0,0,105102A,1968-03-27,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0
9,10,6,1.060000000000000, ,108003A,263.000000000000000,66.000000000000000,108003A,Bloomfield River at China Camp,QLD,HQSRS,263.000000000000000,-15.988200000000001,145.286836999999991,66.000000000000000,108003A,54,54.000000000000000,108003A,1.059999998600000,0.022206250010600,108003, China Camp,Bloomfield River,QLD, ,0,0,0,0,0,108003A,1970-01-16,-15.988400000000000,145.286599999999993,-16.040099999999999,145.302099999999996,148.174000000000007,1243.660000000000082,401.125000000000000,27.632300000000001,6.527200000000000,2352.675000000000182,1858.183399999999892,0.789800000000000,0.000000000000000,0.000000000000000,0.723400000000000,37.544100000000000,119.093999999999994,144.585000000000008,44.247399999999999,1
