OBJECTID_12,OBJECTID,NameMatch,AreaDiff,MatchCount,ArtfclStrm,NearJunc,Version,Override,IN_FID,NEAR_DIST,NEAR_ANGLE,station_no,station_name,area,HydroID,Name,UpstrDArea,QACode,OBJECTID_1,HydroID_1,AHGFFType,NetNodeID,NCB_ID,SegmentNo,StreamName,HasSegment,ExtrnlBasn,NextDownID,SrcFCName,SrcFType,SrcType,SourceID,FeatRel,FSource,AttrRel,AttrSource,PlanAcc,Symbol,TextNote,AlbersArea,OBJECTID_2,SEGMENTNO_1,STRELEMEAN,STRELEMIN,STRELEMAX,SUBELEMEAN,SUBELEMAX,CATELEMAX,CATELEMEAN,SUBAREA,CONFINEMENT,CATAREA,STRAHLER,UPSDIST,VALLEYSLOPE,DOWNMAXSLP,DOWNAVGSLP,D2OUTLET,ELONGRATIO,CATSTORAGE,ASPECT,CATRELIEF,RELIEFRATIO,CATSLOPE,SUBSLOPE,SUBSLOPE_GT_10,SUBSLOPE_GT_30,OBJECTID_3,SEGMENTNO_2,STRDENSITY,NO_WATERHOLES,KM_WATERHOLES,NO_SPRINGS,KM_SPRINGS,A_LAKES,KM_LAKES,A_WCOURSE,KM_WCOURSE,LAKES,SPRINGS,WATCRSAREA,WATERHOLES,WATERYNESS,RCHLEN,OBJECTID_4,SEGMENTNO_3,STRPOPMAX,SUBPOPMAX,CATPOPMAX,STRPOPMEAN,SUBPOPMEAN,CATPOPMEAN,STRPOP_GT_1,SUBPOP_GT_1,CATPOP_GT_1,STRPOP_GT_10,SUBPOP_GT_10,CATPOP_GT_10,STR_MOD,SUB_MOD,CAT_MOD,STR_IRR,SUB_IRR,CAT_IRR,STR_AQU,SUB_AQU,CAT_AQU,STR_INTAN,SUB_INTAN,CAT_INTAN,STR_INTPL,SUB_INTPL,CAT_INTPL,STR_PEST,SUB_PEST,CAT_PEST,STR_FERT,SUB_FERT,CAT_FERT,STR_FORSTRY,SUB_FORSTRY,CAT_FORSTRY,STR_MINING,SUB_MINING,CAT_MINING,STR_URBAN,SUB_URBAN,CAT_URBAN,STR_DRAINAGE,SUB_DRAINAGE,CAT_DRAINAGE,STR_ARTIMP,SUB_ARTIMP,CAT_ARTIMP,STR_ROAD,SUB_ROAD,CAT_ROAD,OBJECTID_5,SEGMENTNO_4,STRGRASSES_NAT,CATGRASSES_NAT,STRFORESTS_NAT,CATFORESTS_NAT,STRSHRUBS_NAT,CATSHRUBS_NAT,STRWOODLANDS_NAT,CATWOODLANDS_NAT,STRBARE_NAT,CATBARE_NAT,STRGRASSES_EXT,CATGRASSES_EXT,STRFORESTS_EXT,CATFORESTS_EXT,STRSHRUBS_EXT,CATSHRUBS_EXT,STRWOODLANDS_EXT,CATWOODLANDS_EXT,STRBARE_EXT,CATBARE_EXT,STRNODATA_NAT,CATNODATA_NAT,STRNODATA_EXT,CATNODATA_EXT,OBJECTID_6,SEGMENTNO_5,STR_CLAYA,STR_CLAYB,STR_SANDA,STR_UNCONSOLDTED,CAT_UNCONSOLDTED,STR_IGNEOUS,CAT_IGNEOUS,STR_SILICSED,CAT_SILICSED,STR_CARBNATESED,CAT_CARBNATESED,STR_OTHERSED,CAT_OTHERSED,STR_METAMORPH,CAT_METAMORPH,STR_SEDVOLC,CAT_SEDVOLC,STR_OLDROCK,CAT_OLDROCK,CAT_A_KSAT,STR_A_KSAT,CAT_SOLPAWHC,OBJECTID_7,NCB_ID_1,Basin,BasinName,NCB_Code,PfafNo,Level1,Division,Level2,Level2Name,PfafL3,PfafL4,PfafL5,PfafL6,PfafL7,PfafL8,PfafL9,PfafL10,PfafL11,PfafL12,PfafL13,PfafL14,PfafL15,BasinLevel,LastPfaf,BasinPfaf,BasinD8,AWRCBNum,AWRCRNum,AWRCDNum,AWRCBName,AWRCRName,AWRCDName,AnaBrLevel,MainStemUp,AnaBrDown,SegNoLink
1,131,3,,1,,,2.1.1,,132,0.000000000000000,0.000000000000000,314213,Black River at South Forest,318.500000000000000,2710484,BLACK RIVER,321270634.426652014255524,1,644,6746569,21,1008247,524,524,BLACK RIVER,2,1,6746547,NCBs, ,,524,1/07/2005 0:00:00,GEOSCIENCE AUSTRALIA,1/01/2003 0:00:00,GEOSCIENCE AUSTRALIA,125,,,6143028.520526651293039,524,524,16.0713673,12.7500296,18.2514877,46.5474815,82.7257690,553.4450684,178.7461548,6.1352310,100.0000000,320.8266602,4.0000000,46.3339539,0.1609904,0.3442889,0.2333030,4.9546676,0.4362053,0.7992889,320.2623901,0.3070051,0.0116695,4.2060490,3.2191050,14.2857141,0.0000000,524,524,0.7674038,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,3.4172673,524,524,4.1748915,4.1748915,4.1748915,4.0424433,4.0109081,1.4456857,100.0000000,100.0000000,0.3004272,0.0000000,0.0000000,0.0000000,36.9791641,77.2619095,80.8043213,0.0000000,8.1547623,1.7527314,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0416660,47.7380943,71.9873276,10.9375000,37.6785736,10.4833803,26.0416660,39.5833359,70.2345963,0.0000000,0.0000000,0.0181816,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0681573,0.0000000,0.0000000,0.0000000,524,524,0.0000000,5.2201176,81.2500000,85.6869049,0.0000000,0.4498426,14.5833330,8.3246994,0.0000000,0.0045466,0.0000000,4.4657445,68.7500000,72.3675232,0.0000000,0.4498426,10.4166660,4.8153653,0.0000000,0.0045466,0.0000000,0.0000000,0.0000000,0.0000000,524,524,38.2500000,48.5000000,36.5000000,0.0000000,4.5361080,0.0000000,23.1346169,100.0000000,71.7179184,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.6113120,0.0000000,0.0000000,100.0000000,72.3258209,130.0881805,266.6666565,160.1258087,524,524,84604,BLACK RIVER,11-47-4151111111111,4151111111111.000000000000000,11,Tasmania,47,SMITHTON-BURNIE COAST,4,1,5,1,1,1,1,1,1,1,1,1,1,3,7,151111111111111,84992,14,A,III,SMITHTON-BURNIE COAST,BASS STRAIT,TASMANIA,0,0,0,524
2,122,3,,4,,,2.1.1,,123,0.000000000000000,0.000000000000000,302214,Ansons River at Downstream of Big Boggy Creek,229.900000000000006,2711116,ANSONS RIVER,230029771.774356007575989,1,1405,6747330,21,1144070,1285,1285,ANSONS RIVER,2,1,6747262,NCBs, ,,1285,1/07/2005 0:00:00,GEOSCIENCE AUSTRALIA,1/01/2003 0:00:00,GEOSCIENCE AUSTRALIA,125,,,350142.754130215500481,1285,1285,15.8013287,15.4698353,16.1219578,28.2589016,47.5202599,461.6551208,108.0318604,0.3496861,80.0000000,229.6967468,4.0000000,28.8567467,0.0721263,0.3059587,0.1636862,9.4107914,0.5926320,5.2597632,167.8574219,0.2074520,0.0154621,2.6736896,2.9808517,16.6666660,0.0000000,1285,1285,0.7984421,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.9041407,1285,1285,0.7613608,0.7613608,0.7613608,0.5407980,0.3202352,0.3547292,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,66.9217072,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,54.8102036,0.0000000,0.0000000,12.1115093,0.0000000,0.0000000,54.8102036,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1285,1285,0.0000000,2.4129121,58.3333321,84.4090195,33.3333359,10.6302643,0.0000000,2.5288188,0.0000000,0.0000000,0.0000000,1.8616732,58.3333321,74.6812439,33.3333359,10.6302643,0.0000000,0.6596742,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1285,1285,16.0000000,50.0000000,72.0000000,0.0000000,0.0000000,8.3333340,94.1871338,91.6666718,0.1490701,0.0000000,0.0000000,0.0000000,5.6638217,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,185.8205566,30.0000000,137.2535858,1285,1285,84920,ANSONS RIVER,11-97-1819111111111,1819111111111.000000000000000,11,Tasmania,97,EAST COAST,1,8,1,9,1,1,1,1,1,1,1,1,1,4,8,191111111111111,85308,2,B,III,EAST COAST,TASMAN,TASMANIA,0,0,0,1285
3,130,1,,1,,,2.1.1,,131,0.000000000000000,0.000000000000000,314207,Leven River at at Bannons Bridge,499.300000000000011,2712660,RIVER LEVEN,514651402.795035004615784,1,2510,6748435,21,1049407,2390,2390,RIVER LEVEN,2,1,6748353,NCBs, ,,2390,1/07/2005 0:00:00,GEOSCIENCE AUSTRALIA,1/01/2003 0:00:00,GEOSCIENCE AUSTRALIA,125,,,23798262.982790924608707,2390,2390,40.0846748,29.6095581,53.5093117,195.4703369,489.4597778,1347.4212646,543.6729126,23.7661514,100.0000000,513.9089966,4.0000000,75.2327118,0.2747959,0.3262253,0.1490664,19.2172050,0.3400098,0.4729865,359.3329468,0.3900886,0.0175165,8.3587322,10.4978552,82.8850861,9.2909536,2390,2390,0.7270417,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,8.6973162,2390,2390,7.6646161,7.6646161,7.6646161,6.5625067,5.8266830,1.2406694,100.0000000,100.0000000,0.4101855,0.0000000,0.0000000,0.0000000,29.3749981,38.2487793,79.2170868,0.0000000,3.3312957,1.6455520,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,7.2916665,15.0213938,64.7942505,10.6250000,21.8062344,12.8346977,7.2916665,11.6900978,63.1437302,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0134211,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0423849,0.0000000,0.0000000,0.0000000,2390,2390,0.0000000,6.7200103,73.3333359,80.2907028,0.0000000,4.6062598,16.6666679,7.8146825,0.0000000,0.2197993,0.0000000,4.1400986,63.3333321,55.0904274,0.0000000,4.6062598,13.3333340,4.1188512,0.0000000,0.2197993,10.0000000,0.1370121,15.0000010,0.0918614,2390,2390,19.0000000,43.0000000,64.0000000,0.0000000,11.6561251,41.6666641,63.8161736,58.3333321,21.1869640,0.0000000,3.3407495,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,242.4849091,113.3333359,175.7371826,2390,2390,85167,RIVER LEVEN,11-47-8317311111111,8317311111111.000000000000000,11,Tasmania,47,SMITHTON-BURNIE COAST,8,3,1,7,3,1,1,1,1,1,1,1,1,3,9,317311111111111,85555,14,A,III,SMITHTON-BURNIE COAST,BASS STRAIT,TASMANIA,0,0,0,2390
4,129,3,,1,,,2.1.1,,130,0.000000000000000,0.000000000000000,312061,Hellyer River at Guilford Junction,100.799999999999997,2714182,HELLYER RIVER,100783077.031803995370865,1,4227,6750153,21,1033362,4108,4108,HELLYER RIVER,2,1,6749823,NCBs, ,,4108,1/07/2005 0:00:00,GEOSCIENCE AUSTRALIA,1/01/2003 0:00:00,GEOSCIENCE AUSTRALIA,125,,,7137628.911505660042167,4108,4108,568.9837036,551.5349731,584.0305786,604.5617676,642.9508667,989.5805664,647.2792969,7.1276808,97.0000000,102.1192780,3.0000000,20.8777409,1.1690758,2.5741072,0.3430428,159.4686584,0.5461670,11.2861595,51.9572525,0.2185716,0.0209815,2.3711119,2.3496790,3.2520325,0.0000000,4108,4108,0.7447674,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,2.7798610,4108,4108,0.0190394,0.0190394,0.0190394,0.0190394,0.0190394,0.0190394,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100.0000000,100.0000000,99.9893570,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100.0000000,100.0000000,99.9893570,0.0000000,0.0000000,0.0000000,100.0000000,100.0000000,99.9893570,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,4108,4108,17.5000000,14.7018509,57.5000000,78.3218307,17.5000000,0.7016095,7.5000005,6.0621338,0.0000000,0.1700138,15.0000010,9.4407244,47.5000000,30.5465393,17.5000000,0.7016095,0.0000000,0.1133539,0.0000000,0.1700138,0.0000000,0.0000000,0.0000000,0.0000000,4108,4108,39.0000000,42.0000000,29.0000000,0.0000000,2.8542609,100.0000000,93.7380524,0.0000000,3.4076731,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,300.0000000,300.0000000,229.0000000,4108,4108,84950,ARTHUR RIVER,11-34-6875111111111,6875111111111.000000000000000,11,Tasmania,34,ARTHUR RIVER,6,8,7,5,1,1,1,1,1,1,1,1,1,3,9,875111111111111,85338,12,C,III,ARTHUR RIVER,GORDON,TASMANIA,0,0,0,4108
5,133,3,,1,,,2.1.1,,134,0.000000000000000,0.000000000000000,318076,North Esk River at Ballroom,379.800000000000011,2714768,NORTH ESK RIVER,381260355.259279012680054,1,4951,6750886,21,1105020,4846,4846,NORTH ESK RIVER,2,1,6750750,NCBs, ,,4846,1/07/2005 0:00:00,GEOSCIENCE AUSTRALIA,1/01/2003 0:00:00,GEOSCIENCE AUSTRALIA,125,,,10781780.831005221232772,4846,4846,326.0082092,317.3076172,336.4826050,469.7545471,842.3516235,1571.7940674,674.4533691,10.7665396,100.0000000,380.6984253,4.0000000,42.0205536,0.4602820,3.8901215,0.3317410,99.2897034,0.5239428,0.1672696,270.0001221,0.2846948,0.0298541,9.9136581,9.6587725,81.7204285,6.9892473,4846,4846,0.6894805,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,4.1659789,4846,4846,0.9570131,0.9570131,0.9570131,0.5689721,0.6343410,0.6442110,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,32.0312500,28.0577965,71.1160965,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,18.5819893,57.9174690,32.0312500,9.4758062,13.1140499,0.0000000,18.5819893,57.9174690,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0066524,0.0000000,0.0000000,0.0000000,4846,4846,7.8125000,1.0190027,76.5625000,72.0497284,0.0000000,5.2633853,15.6250000,20.5389557,0.0000000,1.1288017,0.0000000,0.6426404,57.8125000,61.2141838,0.0000000,5.2633853,3.1250000,4.3336959,0.0000000,1.1288017,0.0000000,0.0000000,0.0000000,0.0000000,4846,4846,22.0000000,55.0000000,59.0000000,0.0000000,21.7007771,100.0000000,41.8335304,0.0000000,35.8089523,0.0000000,0.0000000,0.0000000,0.6564984,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,204.5112915,30.0000000,154.8979187,4841,4846,85331,RIVER TAMAR,11-75-6273311111111,6273311111111.000000000000000,11,Tasmania,75,TAMAR RIVER,6,2,7,3,3,1,1,1,1,1,1,1,1,3,11,273311111111111,85719,18,A,III,TAMAR RIVER,BASS STRAIT,TASMANIA,0,0,0,4846
6,132,1,,3,,,2.1.1,,133,0.000000000000000,0.000000000000000,315450,Forth River at U/S Lemonthyme,309.600000000000023,2715698,RIVER FORTH,309494385.388140976428986,1,5802,6751737,21,1056850,5697,5697,RIVER FORTH,2,1,6751649,NCBs, ,,5697,1/07/2005 0:00:00,GEOSCIENCE AUSTRALIA,1/01/2003 0:00:00,GEOSCIENCE AUSTRALIA,125,,,1099393.617220371961594,5697,5697,252.5487671,250.5742340,254.5122833,300.7684021,406.7959595,1558.0377197,813.9299316,1.0978136,100.0000000,316.6392822,4.0000000,38.7003593,0.4365777,0.7374231,0.3934889,63.5298729,0.5188268,0.0000000,53.3697662,0.4308768,0.0337843,14.2437506,7.4837446,73.6842117,0.0000000,5697,5697,0.8251693,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.9020417,5697,5697,0.0795611,0.0795611,0.5629269,0.0795611,0.0795611,0.0741430,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,22.9166679,75.6578903,7.9757733,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,18.7500000,75.0000000,7.9734931,0.0000000,0.0000000,0.0000000,18.7500000,75.0000000,7.9734931,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,4.1666670,0.6578947,0.0022809,0.0000000,0.0000000,0.0000000,5697,5697,0.0000000,10.7657614,91.6666718,79.8564987,0.0000000,4.8837404,0.0000000,3.1692877,0.0000000,0.2410303,0.0000000,10.5788336,91.6666718,79.2362213,0.0000000,4.8791857,0.0000000,2.9868734,0.0000000,0.2410303,0.0000000,0.0000000,0.0000000,0.0000000,5697,5697,13.0000000,36.0000000,74.0000000,0.0000000,14.7711830,0.0000000,12.3730154,100.0000000,72.8557968,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100.0000000,57.7045135,196.5485840,300.0000000,157.5930176,5692,5697,85235,RIVER FORTH,11-54-4551111111111,4551111111111.000000000000000,11,Tasmania,54,FORTH RIVER,4,5,5,1,1,1,1,1,1,1,1,1,1,3,9,551111111111111,85623,15,A,III,FORTH RIVER,BASS STRAIT,TASMANIA,0,0,0,5697
7,123,3,,3,,,2.1.1,,124,0.000000000000000,0.000000000000000,304497,Nive River at Gowan Brae,174.000000000000000,2718923,NIVE RIVER,179097380.058393001556396,1,9161,6755096,21,1071404,9056,9056,NIVE RIVER,2,1,6755242,NCBs, ,,9056,1/07/2005 0:00:00,GEOSCIENCE AUSTRALIA,1/01/2003 0:00:00,GEOSCIENCE AUSTRALIA,125,,,6093825.077137163840234,9056,9056,794.4678955,781.2196045,810.4062500,817.1884766,869.4975586,1307.0869141,1042.9647217,6.0842824,100.0000000,178.7957611,4.0000000,31.7665958,0.8273488,3.7771332,0.3849437,196.0643311,0.4749665,1.1880428,122.9236603,0.4977399,0.0165541,3.6228321,1.9744084,1.8867924,0.0000000,9056,9056,0.8863701,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,3.5278804,9056,9056,0.0509620,0.0509620,0.0795611,0.0509620,0.0509620,0.0535715,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,9.1981134,2.8595045,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,9.1981134,2.8595045,0.0000000,0.0000000,0.0000000,0.0000000,9.1981134,2.8595045,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,9056,9056,16.6666679,15.4477091,25.0000000,60.7110977,45.8333359,2.7542088,0.0000000,10.4552078,0.0000000,0.0000000,2.0833335,14.1073542,25.0000000,60.7030678,45.8333359,2.7542088,0.0000000,10.2144127,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,9056,9056,31.0000000,31.0000000,41.0000000,0.0000000,4.8539801,100.0000000,91.1778870,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100.0000000,100.0000000,188.8976746,9051,9056,85577,RIVER DERWENT,11-180-6891111111111,6891111111111.000000000000000,11,Tasmania,180,DERWENT RIVER,6,8,9,1,1,1,1,1,1,1,1,1,1,3,10,891111111111111,85965,4,B,III,DERWENT RIVER,TASMAN,TASMANIA,0,0,0,9056
8,128,3,,3,,,2.1.1,,129,0.000000000000000,0.000000000000000,308799,Collingwood river at B/L Alma,271.100000000000023,2719890,COLLINGWOOD RIVER,280393473.105370998382568,1,10335,6756270,21,1048966,10230,10230,COLLINGWOOD RIVER,2,1,6756318,NCBs, ,,10230,1/07/2005 0:00:00,GEOSCIENCE AUSTRALIA,1/01/2003 0:00:00,GEOSCIENCE AUSTRALIA,125,,,10094829.359076447784901,10230,10230,327.3331604,314.8595276,341.0719910,461.3537598,756.6970215,1391.0092773,686.3233643,10.0790358,96.0000000,279.9303284,4.0000000,26.1418457,0.5474778,1.8382900,0.2537683,126.3464508,0.7221772,0.0613995,178.0601349,0.3451786,0.0411658,13.2408276,12.7924414,80.6818161,26.7045460,10230,10230,0.7239444,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,4.7879429,10230,10230,0.0376594,0.0376594,0.0509620,0.0376594,0.0376594,0.0388091,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,10230,10230,25.0000000,11.5169325,66.1764679,77.0882187,0.0000000,4.0104804,0.0000000,6.9825583,0.0000000,0.2047718,25.0000000,11.5169325,66.1764679,77.0882187,0.0000000,4.0104804,0.0000000,6.9825583,0.0000000,0.2047718,0.0000000,0.0000000,0.0000000,0.0000000,10230,10230,8.2941170,33.7647057,83.2941208,0.0000000,12.6520548,0.0000000,2.4145734,100.0000000,84.9333344,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100.0000000,56.2796707,100.9216614,147.0588226,170.3549347,10225,10230,85714,GORDON RIVER,11-232-4291111111111,4291111111111.000000000000000,11,Tasmania,232,GORDON RIVER,4,2,9,1,1,1,1,1,1,1,1,1,1,3,10,291111111111111,86102,8,C,III,GORDON RIVER,GORDON,TASMANIA,0,0,0,10230
9,127,3,,5,,,2.1.1,,128,0.000000000000000,0.000000000000000,308145,Franklin River at Mt Fincham Track,775.299999999999955,2720470,FRANKLIN RIVER,775765929.561807990074158,1,10619,6756554,21,1032945,10514,10514,FRANKLIN RIVER,2,1,6756552,NCBs, ,,10514,1/07/2005 0:00:00,GEOSCIENCE AUSTRALIA,1/01/2003 0:00:00,GEOSCIENCE AUSTRALIA,125,,,630325.905730340746231,10514,10514,223.6577606,222.8990631,224.3916016,262.5236511,349.3555908,1441.0897217,665.6287231,0.6293291,100.0000000,774.5794067,5.0000000,55.6002960,0.2417605,1.8382900,0.2101651,105.7320557,0.5648211,0.0960056,270.0000000,0.3634322,0.0219098,13.1467562,6.8061023,72.7272720,0.0000000,10514,10514,0.7697648,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.6173669,10514,10514,0.0000000,0.0000000,0.0509620,0.0000000,0.0000000,0.0288036,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,10514,10514,0.0000000,15.7070560,91.6666718,75.5618134,0.0000000,5.1387982,0.0000000,2.8557334,0.0000000,0.1811566,0.0000000,15.7052088,91.6666718,75.5618134,0.0000000,5.1387982,0.0000000,2.8557334,0.0000000,0.1811566,0.0000000,0.0000000,0.0000000,0.0000000,10514,10514,7.0000000,34.0000000,86.0000000,0.0000000,14.4701691,0.0000000,5.3703289,100.0000000,80.0976334,0.0000000,0.0617855,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100.0000000,60.4605370,153.5580902,100.0000000,165.6817474,10509,10514,85714,GORDON RIVER,11-232-4253731111111,4253731111111.000000000000000,11,Tasmania,232,GORDON RIVER,4,2,5,3,7,3,1,1,1,1,1,1,1,3,10,253731111111111,86102,8,C,III,GORDON RIVER,GORDON,TASMANIA,0,0,0,10514
10,124,3,,3,,,2.1.1,,125,0.002070456377504,135.000000000000000,304499,Tyenna River at Newbury,210.199999999999989,2723538,TYENNA RIVER,215870136.776151001453400,1,13557,6759492,21,1077778,13452,13452,TYENNA RIVER,2,1,6759464,NCBs, ,,13452,1/07/2005 0:00:00,GEOSCIENCE AUSTRALIA,1/01/2003 0:00:00,GEOSCIENCE AUSTRALIA,125,,,7906679.623508936725557,13452,13452,168.3003540,158.4182129,175.9759827,372.7875671,860.0112915,1364.7268066,542.1652832,7.8932915,100.0000000,215.4751129,3.0000000,30.3857765,0.5636844,1.5300200,0.1643733,96.5225372,0.5451089,0.7372828,13.7747192,0.3181168,0.0396998,10.9890318,10.5018749,76.9784164,13.6690645,13452,13452,0.6763575,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,3.1148863,13452,13452,0.0389117,0.0389117,144.5603027,0.0389117,0.0389117,1.1428567,0.0000000,0.0000000,0.0076386,0.0000000,0.0000000,0.0076386,73.1250000,72.6618729,58.3240166,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1.8750001,61.2410049,56.0033073,71.8750000,11.7356110,2.0351448,1.2500000,60.9262581,55.8724632,0.0000000,0.0000000,0.0000000,0.6250000,0.3147482,0.1308535,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,13452,13452,0.0000000,2.3970037,80.0000000,92.3859940,0.0000000,2.1475990,20.0000000,1.8831196,0.0000000,0.9951269,0.0000000,2.0480626,40.0000000,78.7526627,0.0000000,2.1475990,0.0000000,1.6986737,0.0000000,0.9951269,0.0000000,0.0000000,0.0000000,0.0000000,13452,13452,14.0000000,45.0000000,72.0000000,0.0000000,22.8421345,0.0000000,9.5980358,100.0000000,60.9736023,0.0000000,6.5862312,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,4.7926683,210.9969635,100.0000000,135.1456604,13447,13452,85577,RIVER DERWENT,11-180-6385111111111,6385111111111.000000000000000,11,Tasmania,180,DERWENT RIVER,6,3,8,5,1,1,1,1,1,1,1,1,1,3,10,385111111111111,85965,4,B,III,DERWENT RIVER,TASMAN,TASMANIA,0,0,0,13452
