max_elev,vol_gt_max,jurisdiction,awrc,min_elev,daily_min,gap_filled,area,water_year_short,station,location,data_owner_code,daily_max,annual_average_depth,end_date,data_owner,water_year,station_status,start_date,length,local_id,daily_average,annual_average_vol,elev_range,river,annual_cv
1488,2.88,ACT,410713,582,0,0.4,224.4,Mar to Feb,Riverlea,"148.966&deg;E, 35.384&deg;S",w00002,13867,153,28-02-2019,Icon Water Limited,March to February,New,31-03-1957,36,410713,92.9,34.3,906,Paddy's River,0.79
1912,0.38,ACT,410730,982,1,0.16,130,Mar to Feb,Gingera,"148.821&deg;E, 35.592&deg;S",w00002,4507,318,28-02-2019,Icon Water Limited,March to February,Existing,05-07-1963,22,410730,113,41.4,930,Cotter River,0.56
1739,0.95,ACT,410731,614,0,1.45,671.6,Mar to Feb,Tennent,"149.066&deg;E, 35.575&deg;S",w00075,28177,83,28-02-2019,"Environment, Planning and Sustainable Development Directorate",March to February,Existing,14-11-1964,59,410731,152,55.7,1125,Gudgenby River,0.86
1539,1.21,ACT,410734,786,0,0.39,563.7,Mar to Feb,Tinderry,"149.350&deg;E, 35.614&deg;S",w00002,37092,102,28-02-2019,Icon Water Limited,March to February,Existing,04-08-1966,59,410734,160,57.3,753,Queanbeyan River,1.13
1302,2.01,ACTNSW,410705,676,0,0.29,508.6,Mar to Feb,Burbong,"149.316&deg;E, 35.337&deg;S",w00075,35114,86,28-02-2019,"Environment, Planning and Sustainable Development Directorate",March to February,Existing,01-01-1950,58,410705,119,43.7,626,Molonglo River,1.22
1870,3.65,ACTNSW,410761,586,0,0.59,5158,Mar to Feb,Murrumbidgee River below Lobbs Hole Creek,"149.101&deg;E, 35.540&deg;S",w00075,157079,60,28-02-2019,"Environment, Planning and Sustainable Development Directorate",March to February,Existing,14-11-1974,242,410761,851,311,1284,Murrumbidgee River below Lobbs Hole Creek,0.97
1139,1.07,NSW,201001,19,0,1.67,214.1,Mar to Feb,Eungella,"153.292&deg;E, 28.355&deg;S",w00077,88193,640,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,04-03-1957,35,201001,369,137,1120,Oxley River,0.61
1119,6.57,NSW,203005,66,2,0.65,712.2,Mar to Feb,Wiangaree,"152.966&deg;E, 28.506&deg;S",w00077,102923,320,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,02-07-1971,64,203005,620,228,1053,Richmond River,0.71
918,20.41,NSW,203010,20,0,1.04,177.7,Mar to Feb,Rock Valley,"153.163&deg;E, 28.738&deg;S",w00077,61160,479,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,19-06-1967,32,203010,237,85.1,898,Leycester River,0.73
645,1.87,NSW,203030,26,0,0.11,392.2,Mar to Feb,Rappville,"152.998&deg;E, 29.112&deg;S",w00077,12683,132,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,29-09-1979,47,203030,141,52,619,Myrtle Creek,1.03
