#,Australian Bureau of Meteorology,,,,,
#,Hydrologic Reference Stations,,,,,
#,,,,,,
#,Dataset version:  May 2020,,,,,
#,,,,,,
#,For description of data owner codes see http://www.bom.gov.au/water/hrs/content/data_owners.csv,,,,,
#,,,,,,
#,For more information see http://www.bom.gov.au/water/hrs,,,,,
#,,,,,,
#,For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml,,,,,
#,,,,,,
AWRC Station Number,Station Name,Latitude,Longitude,Jurisdiction,Catchment Area (km2),Data owner code
410730,Cotter River at Gingera,-35.5917,148.82125,ACT,130,w00002
410731,Gudgenby River at Tennent,-35.574851,149.06625,ACT,671.6,w00075
410734,Queanbeyan River at Tinderry,-35.61375,149.3498186,ACT,563.7,w00002
410705,Molonglo River at Burbong,-35.3367,149.31625,ACTNSW,508.6,w00075
410761,Murrumbidgee River below Lobbs Hole Creek,-35.539928,149.10125,ACTNSW,5158,w00075
204034,Henry River at Newton Boyd,-29.7635,152.214,NSW,398.9,w00077
206014,Wollomombi River at Coninside,-30.47635697,152.028857,NSW,377.4,w00077
206018,Apsley River at Apsley Falls,-31.05125,151.76625,NSW,851.9,w00077
208007,Nowendoc River at Nowendoc,-31.51625,151.71625,NSW,221.1,w00077
208009,Barnard River at Barry,-31.57995,151.31495,NSW,152.1,w00077
210006,Goulburn River at Coggan,-32.34364471,150.1013553,NSW,3402,w00077
210011,William River at Tillegra,-32.31945,151.68805,NSW,196.4,w00077
211008,Jigadee Creek at Avondale,-33.07215,151.47035,NSW,64.2,w00077
212209,Nepean River at Maguires Crossing,-34.476507,150.53375,NSW,67.4,w00231
212260,Kowmung River at Cedar Ford,-33.94734,150.24375,NSW,713,w00231
215002,Shoalhaven River at Warri ,-35.3407,149.7393,NSW,1382,w00077
215004,Corang River at Hockeys,-35.1471,150.0329,NSW,165.6,w00077
215207,Shoalhaven river at Fossickers Flat,-34.8217,150.1833,NSW,4660,w00231
216002,Clyde River at Brooman,-35.4681,150.23625,NSW,859,w00077
216004,Currambene Creek at Falls Creek,-34.9705,150.598,NSW,95.7,w00077
218001,Tuross River at Tuross Vale,-36.26465,149.51035,NSW,90.6,w00077
219001,Rutherford Creek at Brown Mountain,-36.59315,149.44185,NSW,14.4,w00077
401009,Maragle Creek at Maragle,-35.9266,148.1009,NSW,217.3,w00077
401012,Murray River at Biggara,-36.31875,148.0519476,NSW,1257,w00077
401015,Bowna Creek at Yambla,-35.91625,146.975091,NSW,290.1,w00077
410057,Goobarragandra River at Lacmalac,-35.32905,148.34845,NSW,667.9,w00077
410061,Adelong Creek at Batlow Road,-35.33165,148.06915,NSW,146.1,w00077
412028,Abercrombie River at Abercrombie ,-33.9548,149.3252,NSW,2631,w00077
412050,Crookwell River at Narrawa North,-34.31125,149.167269,NSW,761.9,w00077
412066,Abercrombie River at Hadley No.2,-34.1128,149.5978,NSW,1630,w00077
416003,Tenterfield Creek at Clifton,-29.02915,151.72665,NSW,552.6,w00077
416008,Beardy River at Haystack,-29.21838,151.38338,NSW,908,w00077
418005,Copes Creek at Kimberley,-29.9168215,151.1143215,NSW,249.3,w00077
418014,Gwydir River at Yarrowyck,-30.4674403,151.3624403,NSW,834.6,w00077
419005,Namoi River at North Cuerindi,-30.6784993,150.7784993,NSW,2532,w00077
424002,Paroo River at Willarra Crossing,-29.23875,144.455339,NSW,35239,w00077
G0010005,Ranken River at Soudan Homestead,-20.046901,137.01875,NT,6390,w00067
G0050115,Hugh River at South Road Crossing,-24.35332906,133.4333291,NT,3324,w00067
G8110004,East Baines River at Victoria Highway,-15.76625,130.03375,NT,2443,w00067
G8110016,Upper Victoria River at Wave Hill Police Station,-17.44865416,130.8388458,NT,4715,w00067
G8140001,Katherine River at Railway Bridge,-14.4633,132.2567,NT,8357,w00067
G8140040,Daly River at Mount Nancar,-13.83085,130.73585,NT,47652,w00067
G8140161,Green Ant Creek at Tipperary,-13.7375,131.1025,NT,415.5,w00067
G8150018,Elizabeth River at Stuart Highway,-12.60605,131.07355,NT,95.6,w00067
G8170002,Adelaide River at Railway Bridge,-13.24125,131.1083,NT,638.4,w00067
G8190001,West Alligator River at Upstream Arnhem Highway,-12.7911,132.1739,NT,245.8,w00067
G8200045,South Alligator River at El Sherana ,-13.52455,132.51955,NT,1231,w00067
G8210010,East Alligator River at 12 Deg 43 Minutes South,-12.71735,133.33235,NT,2398,w00067
G9030124,Daly Waters Creek at Daly Waters,-16.2598,133.37375,NT,312.6,w00067
G9030250,Roper River at Red Rock,-14.69527637,134.4197236,NT,43476,w00067
G9070142,McArthur River Upstream of Bailey's Grave,-16.778,135.75625,NT,4261,w00067
102101A,Pascoe River at Fall Creek,-12.88045,142.98295,QLD,647.7,w00066
104001A,Stewart River at Telegraph Road,-14.16875,143.394002,QLD,469,w00066
105101A,Normanby River at Battle Camp,-15.2812,144.8387,QLD,2306,w00066
105102A,Laura River at Coalseam Creek,-15.6133,144.48375,QLD,1285,w00066
105105A,East Normanby River at Development Road,-15.771166,145.01375,QLD,296.8,w00066
107001B,Endeavour River at Flaggy,-15.42375,145.0672971,QLD,338,w00066
108002A,Daintree River at Bairds,-16.17875,145.281861,QLD,907.3,w00066
108003A,Bloomfield River at China Camp,-15.988163,145.286837,QLD,263,w00066
112002A,Fisher Creek at Nerada,-17.564487,145.908013,QLD,16.2,w00066
112102A,Liverpool Creek at Upper Japoonvale,-17.71520831,145.9052083,QLD,77.8,w00066
113004A,Cochable Creek at Powerline,-17.73961111,145.62875,QLD,95.5,w00066
116006B,Herbert River at Abergowrie,-18.49125,145.922213,QLD,7487,w00066
116010A,Blencoe Creek at Blencoe Falls,-18.2044,145.5369,QLD,223.7,w00066
116011A,Millstream River at Ravenshoe,-17.60505,145.47745,QLD,90.1,w00066
116012A,Cameron Creek at 8.7KM,-18.06449,145.34199,QLD,365.2,w00066
116013A,Millstream river at Archer Creek,-17.65125,145.3410684,QLD,309.3,w00066
116014A,Wild River at Silver Valley,-17.6266,145.29875,QLD,587.6,w00066
